Year,Actor_Name,Film_Title,Winner,Nominated
2021,Andrew Garfield,"Tick, Tick... Boom!",No,Yes
2021,Denzel Washington,The Tragedy of Macbeth,No,Yes
2022,Brendan Fraser,The Whale,Yes,Yes
2022,Austin Butler,Elvis,No,Yes
2022,Colin Farrell,The Banshees of Inisherin,No,Yes
2022,Paul Mescal,Aftersun,No,Yes
2022,Bill Nighy,Living,No,Yes
2023,Cillian Murphy,Oppenheimer,Yes,Yes
2023,Bradley Cooper,Maestro,No,Yes
2023,Colman Domingo,Rustin,No,Yes
2023,Paul Giamatti,The Holdovers,No,Yes
2023,Jeffrey Wright,American Fiction,No,Yes
2024,Adrien Brody,The Brutalist,Yes,Yes
2024,Timothée Chalamet,A Complete Unknown,No,Yes
2024,Colman Domingo,Sing Sing,No,Yes
2024,Ralph Fiennes,Conclave,No,Yes
2024,Sebastian Stan,The Apprentice,No,Yes
